,date,home_team,away_team,home_team_continent,away_team_continent,home_team_fifa_rank,away_team_fifa_rank,home_team_total_fifa_points,away_team_total_fifa_points,home_team_score,away_team_score,tournament,city,country,neutral_location,shoot_out,home_team_result,home_team_goalkeeper_score,away_team_goalkeeper_score,home_team_mean_defense_score,home_team_mean_offense_score,home_team_mean_midfield_score,away_team_mean_defense_score,away_team_mean_offense_score,away_team_mean_midfield_score,year,home_win,home_draw,home_lose,home_Total_OVA,home_ATT_OVA,home_MID_OVA,home_DEF_OVA,away_Total_OVA,away_ATT_OVA,away_MID_OVA,away_DEF_OVA
0,2007-01-07,Haiti,Bermuda,North America,North America,102,107,12.28658497,17.79163501,2,0,CFU Caribbean Cup qualification,Couva,Trinidad and Tobago,TRUE,No,Win,,,,63,,,,,2007,TRUE,FALSE,FALSE,68.08056872,68.08056872,68.08056872,68.08056872,67.25118483,67.25118483,67.25118483,67.25118483
1,2007-01-07,Singapore,Philippines,Asia,Asia,111,171,2.700759683,3.115816994,4,1,Friendly,Singapore,Singapore,FALSE,No,Win,,,,,,,,,2007,TRUE,FALSE,FALSE,66.58767773,66.58767773,66.58767773,66.58767773,56.63507109,56.63507109,56.63507109,56.63507109
2,2007-01-07,Yemen,Eritrea,Asia,Africa,141,140,3.104333503,46.34475575,4,1,Friendly,Sana'a,Yemen,FALSE,No,Win,,,,,,,,,2007,TRUE,FALSE,FALSE,61.61137441,61.61137441,61.61137441,61.61137441,61.77725118,61.77725118,61.77725118,61.77725118
3,2007-01-08,Saudi Arabia,Gambia,Asia,Africa,64,134,5.05872321,13.31704297,3,0,Friendly,Dammam,Saudi Arabia,FALSE,No,Win,,65,,,,,64.3,,2007,TRUE,FALSE,FALSE,74.38388626,74.38388626,74.38388626,74.38388626,62.77251185,62.77251185,62.77251185,62.77251185
4,2007-01-09,Bermuda,Haiti,North America,North America,107,102,8.026068059,8.394994912,0,3,CFU Caribbean Cup qualification,Couva,Trinidad and Tobago,TRUE,No,Lose,,,,,,,63,,2007,FALSE,FALSE,TRUE,67.25118483,67.25118483,67.25118483,67.25118483,68.08056872,68.08056872,68.08056872,68.08056872
5,2007-01-11,Costa Rica,Nicaragua,North America,North America,68,168,9.228977026,10.35661038,2,0,Friendly,San Jos챕,Costa Rica,FALSE,No,Win,,,,60.7,,,,,2007,TRUE,FALSE,FALSE,73.72037915,73.72037915,73.72037915,73.72037915,57.13270142,57.13270142,57.13270142,57.13270142
6,2007-01-11,Saudi Arabia,Syria,Asia,Asia,64,112,5.05872321,3.776000803,2,1,Friendly,Dammam,Saudi Arabia,FALSE,No,Win,,,,,,,,,2007,TRUE,FALSE,FALSE,74.38388626,74.38388626,74.38388626,74.38388626,66.42180095,66.42180095,66.42180095,66.42180095
7,2007-01-12,Malaysia,Philippines,Asia,Asia,152,171,2.118989946,3.115816994,4,0,AFF Championship,Bangkok,Thailand,TRUE,No,Win,,,,,,,,,2007,TRUE,FALSE,FALSE,59.78672986,59.78672986,59.78672986,59.78672986,56.63507109,56.63507109,56.63507109,56.63507109
8,2007-01-12,Thailand,Myanmar,Asia,Asia,137,154,2.915114198,4.095241653,1,1,AFF Championship,Bangkok,Thailand,FALSE,No,Draw,,,,,,,,,2007,FALSE,TRUE,FALSE,62.27488152,62.27488152,62.27488152,62.27488152,59.4549763,59.4549763,59.4549763,59.4549763
9,2007-01-12,Trinidad and Tobago,Barbados,South America,North America,91,98,9.285653834,11.0638366,1,1,CFU Caribbean Cup,Port of Spain,Trinidad and Tobago,FALSE,No,Draw,70,,62.8,67.7,,,,,2007,FALSE,TRUE,FALSE,69.90521327,69.90521327,69.90521327,69.90521327,68.74407583,68.74407583,68.74407583,68.74407583
10,2007-01-13,Indonesia,Laos,Asia,Asia,153,151,2.637967044,3.979948547,3,1,AFF Championship,Singapore,Singapore,TRUE,No,Win,,,,,,,,,2007,TRUE,FALSE,FALSE,59.62085308,59.62085308,59.62085308,59.62085308,59.95260664,59.95260664,59.95260664,59.95260664
11,2007-01-13,Qatar,Oman,Asia,Asia,58,72,3.365608177,6.903457145,1,1,Friendly,Doha,Qatar,FALSE,No,Draw,,74,,,,,,,2007,FALSE,TRUE,FALSE,75.37914692,75.37914692,75.37914692,75.37914692,73.05687204,73.05687204,73.05687204,73.05687204
12,2007-01-13,Singapore,Vietnam,Asia,Asia,111,172,2.700759683,10.79536417,0,0,AFF Championship,Singapore,Singapore,FALSE,No,Draw,,,,,,,,,2007,FALSE,TRUE,FALSE,66.58767773,66.58767773,66.58767773,66.58767773,56.46919431,56.46919431,56.46919431,56.46919431
13,2007-01-14,Malaysia,Myanmar,Asia,Asia,152,154,2.118989946,4.095241653,0,0,AFF Championship,Bangkok,Thailand,TRUE,No,Draw,,,,,,,,,2007,FALSE,TRUE,FALSE,59.78672986,59.78672986,59.78672986,59.78672986,59.4549763,59.4549763,59.4549763,59.4549763
14,2007-01-14,Panama,Armenia,North America,Europe,81,123,9.53134333,13.14166771,1,1,Friendly,Monterey Park,USA,TRUE,No,Draw,,,,,,,,,2007,FALSE,TRUE,FALSE,71.56398104,71.56398104,71.56398104,71.56398104,64.5971564,64.5971564,64.5971564,64.5971564
