YEAR,TEAM,OVA,ATT,MID,DEF
2007,England,85,84,83,82
2007,France,85,86,82,83
2007,Italy,85,84,84,84
2007,Spain,85,85,84,81
2007,Brazil,85,84,84,85
2007,Germany,84,82,80,83
2007,Argentina,83,83,79,80
2007,Portugal,81,78,81,80
2007,Turkey,79,80,76,74
2007,Denmark,78,77,78,75
2007,Russia,78,79,76,77
2007,Mexico,78,78,76,78
2007,Nigeria,78,79,68,77
2007,Serbia,77,77,72,72
2007,Croatia,77,79,73,75
2007,Greece,77,77,78,78
2007,Uruguay,77,78,72,73
2007,Cameroon,77,79,74,71
2007,Republic of Ireland,76,74,73,76
2007,Sweden,76,77,75,73
2007,Switzerland,76,76,74,77
2007,Australia,76,75,75,73
2007,Korea Republic,76,75,75,75
2007,Belgium,75,74,72,75
2007,Norway,75,74,74,73
2007,Ukraine,75,76,73,66
2007,Paraguay,75,77,73,72
2007,United States,75,71,74,71
2007,Bulgaria,74,74,72,62
2007,Finland,74,72,68,69
2007,Poland,74,74,71,68
2007,Scotland,74,75,76,73
2007,Austria,73,70,67,72
2007,Romania,73,74,69,72
2007,Slovenia,72,71,70,68
2007,Wales,72,77,70,68
2007,Ecuador,70,70,68,67
2007,Northern Ireland,69,64,68,65
2007,Tunisia,69,67,65,71
2007,Hungary,68,68,66,67
2007,China PR,68,68,66,66
2008,England,84,84,83,83
2008,France,84,85,83,82
2008,Italy,84,83,82,83
2008,Spain,84,83,83,80
2008,Brazil,84,84,83,83
2008,Argentina,83,84,83,81
2008,Germany,82,82,81,82
2008,Portugal,82,78,83,78
2008,Netherlands,81,82,80,77
2008,Czech Republic,78,78,76,77
2008,Mexico,78,77,75,75
2008,Denmark,77,75,75,76
2008,Greece,77,77,77,77
2008,Turkey,77,79,77,74
2008,Nigeria,77,78,75,73
2008,Croatia,76,81,74,73
2008,Russia,76,73,73,75
2008,Sweden,76,79,74,75
2008,Norway,75,76,75,73
2008,Republic of Ireland,75,76,75,75
2008,Scotland,75,76,79,73
2008,Switzerland,75,75,73,75
2008,Paraguay,75,77,73,75
2008,Uruguay,75,77,73,74
2008,Cameroon,75,77,71,73
2008,Poland,74,75,73,69
2008,Romania,74,74,71,72
2008,Ukraine,74,76,75,67
2008,United States,74,78,72,72
2008,Australia,74,73,71,68
2008,Belgium,73,73,73,74
2008,Bulgaria,73,74,72,70
2008,Finland,72,70,71,70
2008,Austria,71,65,69,71
2008,Wales,71,73,72,70
2008,South Africa,71,74,71,67
2008,Northern Ireland,69,67,68,68
2008,Slovenia,69,70,66,65
2008,Korea Republic,69,71,69,67
2008,Hungary,68,63,69,67
2008,Ecuador,68,68,65,68
2008,China PR,65,64,67,65
